name,nameFull,class,pond,date,depth,freq,Name,
1637A.tif,"2 (160 images)\Mar 25, 2010 (25 images)\1637A.tif",2,NA,03-25-10,80 mm,8 MHz,0001_2.png,2
2469A.tif,"2 (160 images)\Mar 25, 2010 (25 images)\2469A.tif",2,NA,03-25-10,80 mm,8 MHz,0002_2.png,2
550.tif,"2 (160 images)\Mar 25, 2010 (25 images)\550.tif",2,NA,03-25-10,80 mm,8 MHz,0003_2.png,2
554.tif,"2 (160 images)\Mar 25, 2010 (25 images)\554.tif",2,NA,03-25-10,80 mm,8 MHz,0004_2.png,2
556.tif,"2 (160 images)\Mar 25, 2010 (25 images)\556.tif",2,NA,03-25-10,80 mm,8 MHz,0005_2.png,2
558.tif,"2 (160 images)\Mar 25, 2010 (25 images)\558.tif",2,NA,03-25-10,80 mm,8 MHz,0006_2.png,2
563.tif,"2 (160 images)\Mar 25, 2010 (25 images)\563.tif",2,NA,03-25-10,80 mm,8 MHz,0007_2.png,2
566.tif,"2 (160 images)\Mar 25, 2010 (25 images)\566.tif",2,NA,03-25-10,80 mm,8 MHz,0008_2.png,2
568.tif,"2 (160 images)\Mar 25, 2010 (25 images)\568.tif",2,NA,03-25-10,80 mm,8 MHz,0009_2.png,2
571.tif,"2 (160 images)\Mar 25, 2010 (25 images)\571.tif",2,NA,03-25-10,80 mm,8 MHz,0010_2.png,2
573.tif,"2 (160 images)\Mar 25, 2010 (25 images)\573.tif",2,NA,03-25-10,80 mm,8 MHz,0011_2.png,2
576.tif,"2 (160 images)\Mar 25, 2010 (25 images)\576.tif",2,NA,03-25-10,80 mm,8 MHz,0012_2.png,2
578.tif,"2 (160 images)\Mar 25, 2010 (25 images)\578.tif",2,NA,03-25-10,80 mm,8 MHz,0013_2.png,2
582.tif,"2 (160 images)\Mar 25, 2010 (25 images)\582.tif",2,NA,03-25-10,80 mm,8 MHz,0014_2.png,2
586.tif,"2 (160 images)\Mar 25, 2010 (25 images)\586.tif",2,NA,03-25-10,80 mm,8 MHz,0015_2.png,2
587.tif,"2 (160 images)\Mar 25, 2010 (25 images)\587.tif",2,NA,03-25-10,80 mm,8 MHz,0016_2.png,2
590.tif,"2 (160 images)\Mar 25, 2010 (25 images)\590.tif",2,NA,03-25-10,80 mm,8 MHz,0017_2.png,2
596.tif,"2 (160 images)\Mar 25, 2010 (25 images)\596.tif",2,NA,03-25-10,80 mm,8 MHz,0018_2.png,2
597.tif,"2 (160 images)\Mar 25, 2010 (25 images)\597.tif",2,NA,03-25-10,80 mm,8 MHz,0019_2.png,2
6594A.tif,"2 (160 images)\Mar 25, 2010 (25 images)\6594A.tif",2,NA,03-25-10,80 mm,8 MHz,0020_2.png,2
6611A.tif,"2 (160 images)\Mar 25, 2010 (25 images)\6611A.tif",2,NA,03-25-10,80 mm,8 MHz,0021_2.png,2
722.tif,"2 (160 images)\Mar 25, 2010 (25 images)\722.tif",2,NA,03-25-10,80 mm,8 MHz,0022_2.png,2
8366A.tif,"2 (160 images)\Mar 25, 2010 (25 images)\8366A.tif",2,NA,03-25-10,80 mm,8 MHz,0023_2.png,2
9492A.tif,"2 (160 images)\Mar 25, 2010 (25 images)\9492A.tif",2,NA,03-25-10,80 mm,8 MHz,0024_2.png,2
9667A.tif,"2 (160 images)\Mar 25, 2010 (25 images)\9667A.tif",2,NA,03-25-10,80 mm,8 MHz,0025_2.png,2
315.tif,"3 (146 images)\Mar 25, 2010 (10 items)\315.tif",3,NA,03-25-10,80 mm,8 MHz,0026_3.png,3
557.tif,"3 (146 images)\Mar 25, 2010 (10 items)\557.tif",3,NA,03-25-10,80 mm,8 MHz,0027_3.png,3
560.tif,"3 (146 images)\Mar 25, 2010 (10 items)\560.tif",3,NA,03-25-10,80 mm,8 MHz,0028_3.png,3
564.tif,"3 (146 images)\Mar 25, 2010 (10 items)\564.tif",3,NA,03-25-10,80 mm,8 MHz,0029_3.png,3
567.tif,"3 (146 images)\Mar 25, 2010 (10 items)\567.tif",3,NA,03-25-10,80 mm,8 MHz,0030_3.png,3
570.tif,"3 (146 images)\Mar 25, 2010 (10 items)\570.tif",3,NA,03-25-10,80 mm,8 MHz,0031_3.png,3
580.tif,"3 (146 images)\Mar 25, 2010 (10 items)\580.tif",3,NA,03-25-10,80 mm,8 MHz,0032_3.png,3
594.tif,"3 (146 images)\Mar 25, 2010 (10 items)\594.tif",3,NA,03-25-10,80 mm,8 MHz,0033_3.png,3
595.tif,"3 (146 images)\Mar 25, 2010 (10 items)\595.tif",3,NA,03-25-10,80 mm,8 MHz,0034_3.png,3
600.tif,"3 (146 images)\Mar 25, 2010 (10 items)\600.tif",3,NA,03-25-10,80 mm,8 MHz,0035_3.png,3
602_4.tif,4 (90 images)\PondB9 2010 (26 images)\602_4.tif,4,B9,05-06-10,80 mm,5 MHz,0036_4.png,4
603_4.tif,4 (90 images)\PondB9 2010 (26 images)\603_4.tif,4,B9,05-06-10,80 mm,5 MHz,0037_4.png,4
609_4.tif,4 (90 images)\PondB9 2010 (26 images)\609_4.tif,4,B9,05-06-10,80 mm,5 MHz,0038_4.png,4
610_4.tif,4 (90 images)\PondB9 2010 (26 images)\610_4.tif,4,B9,05-06-10,80 mm,5 MHz,0039_4.png,4
611_4.tif,4 (90 images)\PondB9 2010 (26 images)\611_4.tif,4,B9,05-06-10,80 mm,5 MHz,0040_4.png,4
615_4.tif,4 (90 images)\PondB9 2010 (26 images)\615_4.tif,4,B9,05-06-10,80 mm,5 MHz,0041_4.png,4
621_4.tif,4 (90 images)\PondB9 2010 (26 images)\621_4.tif,4,B9,05-06-10,80 mm,5 MHz,0042_4.png,4
622_4.tif,4 (90 images)\PondB9 2010 (26 images)\622_4.tif,4,B9,05-06-10,80 mm,5 MHz,0043_4.png,4
623_4.tif,4 (90 images)\PondB9 2010 (26 images)\623_4.tif,4,B9,05-06-10,80 mm,5 MHz,0044_4.png,4
624_4.tif,4 (90 images)\PondB9 2010 (26 images)\624_4.tif,4,B9,05-06-10,80 mm,5 MHz,0045_4.png,4
634_4.tif,4 (90 images)\PondB9 2010 (26 images)\634_4.tif,4,B9,05-06-10,80 mm,5 MHz,0046_4.png,4
635_4.tif,4 (90 images)\PondB9 2010 (26 images)\635_4.tif,4,B9,05-06-10,80 mm,5 MHz,0047_4.png,4
639_4.tif,4 (90 images)\PondB9 2010 (26 images)\639_4.tif,4,B9,05-06-10,80 mm,5 MHz,0048_4.png,4
641_4.tif,4 (90 images)\PondB9 2010 (26 images)\641_4.tif,4,B9,05-06-10,80 mm,5 MHz,0049_4.png,4
643_4.tif,4 (90 images)\PondB9 2010 (26 images)\643_4.tif,4,B9,05-06-10,80 mm,5 MHz,0050_4.png,4
644_4.tif,4 (90 images)\PondB9 2010 (26 images)\644_4.tif,4,B9,05-06-10,80 mm,5 MHz,0051_4.png,4
645_4.tif,4 (90 images)\PondB9 2010 (26 images)\645_4.tif,4,B9,05-06-10,80 mm,5 MHz,0052_4.png,4
649_4.tif,4 (90 images)\PondB9 2010 (26 images)\649_4.tif,4,B9,05-06-10,80 mm,5 MHz,0053_4.png,4
650_4.tif,4 (90 images)\PondB9 2010 (26 images)\650_4.tif,4,B9,05-06-10,80 mm,5 MHz,0054_4.png,4
653_4.tif,4 (90 images)\PondB9 2010 (26 images)\653_4.tif,4,B9,05-06-10,80 mm,5 MHz,0055_4.png,4
654_4.tif,4 (90 images)\PondB9 2010 (26 images)\654_4.tif,4,B9,05-06-10,80 mm,5 MHz,0056_4.png,4
655_4.tif,4 (90 images)\PondB9 2010 (26 images)\655_4.tif,4,B9,05-06-10,80 mm,5 MHz,0057_4.png,4
657_4.tif,4 (90 images)\PondB9 2010 (26 images)\657_4.tif,4,B9,05-06-10,80 mm,5 MHz,0058_4.png,4
664_4.tif,4 (90 images)\PondB9 2010 (26 images)\664_4.tif,4,B9,05-06-10,80 mm,5 MHz,0059_4.png,4
666_4.tif,4 (90 images)\PondB9 2010 (26 images)\666_4.tif,4,B9,05-06-10,80 mm,5 MHz,0060_4.png,4
767_4.tif,4 (90 images)\PondB9 2010 (26 images)\767_4.tif,4,B9,05-06-10,80 mm,5 MHz,0061_4.png,4
789_4.tif,4 (90 images)\PondG1 2010 (4 images)\789_4.tif,4,G1,05-17-10,80 mm,5 MHz,0062_4.png,4
790_4.tif,4 (90 images)\PondG1 2010 (4 images)\790_4.tif,4,G1,05-17-10,80 mm,5 MHz,0063_4.png,4
791_4.tif,4 (90 images)\PondG1 2010 (4 images)\791_4.tif,4,G1,05-17-10,80 mm,5 MHz,0064_4.png,4
986_4.tif,4 (90 images)\PondG1 2010 (4 images)\986_4.tif,4,G1,05-17-10,80 mm,5 MHz,0065_4.png,4
3324A.tif,4 (90 images)\PondG1G2 2010 (7 images)\3324A.tif,4,G1G2,03-30-10,80 mm,8 MHz,0066_4.png,4
